"UNITID","Students","Demographic"
100654,2919,"men"
100654,4201,"women"
100663,9388,"men"
100663,15505,"women"
100690,377,"men"
100690,484,"women"
100706,5797,"men"
100706,4119,"women"
100724,1568,"men"
100724,2740,"women"
100751,18537,"men"
100751,25090,"women"
100760,1029,"men"
100760,1708,"women"
100812,1201,"men"
100812,2724,"women"
100830,2656,"men"
100830,3870,"women"
100858,18265,"men"
100858,18743,"women"
101028,884,"men"
101028,1453,"women"
101116,106,"men"
101116,457,"women"
101143,1428,"men"
101143,1668,"women"
101161,3642,"men"
101161,5558,"women"
101189,1564,"men"
101189,2124,"women"
101240,2441,"men"
101240,3944,"women"
101277,0,"men"
101277,54,"women"
101286,1787,"men"
101286,3724,"women"
101295,2942,"men"
101295,5296,"women"
101301,1114,"men"
101301,1668,"women"
101365,118,"men"
101365,774,"women"
101435,507,"men"
101435,395,"women"
101453,159,"men"
101453,32,"women"
101462,530,"men"
101462,994,"women"
101471,1540,"men"
101471,186,"women"
101480,4675,"men"
101480,6694,"women"
101505,4695,"men"
101505,8025,"women"
101514,5989,"men"
101514,7329,"women"
101569,1544,"men"
101569,3195,"women"
101587,2336,"men"
101587,7128,"women"
101602,1205,"men"
101602,1616,"women"
101648,239,"men"
101648,86,"women"
101675,741,"men"
101675,876,"women"
101693,779,"men"
101693,1215,"women"
101709,1453,"men"
101709,2407,"women"
101736,2437,"men"
101736,3239,"women"
101879,4476,"men"
101879,8061,"women"
101897,1529,"men"
101897,2480,"women"
101912,611,"men"
101912,848,"women"
101994,250,"men"
101994,447,"women"
102030,1819,"men"
102030,3076,"women"
102049,2102,"men"
102049,4125,"women"
102058,35,"men"
102058,57,"women"
102067,2929,"men"
102067,4471,"women"
102076,3157,"men"
102076,4664,"women"
102094,5046,"men"
102094,10897,"women"
102234,524,"men"
102234,610,"women"
102270,385,"men"
102270,519,"women"
102298,716,"men"
102298,601,"women"
102313,947,"men"
102313,1819,"women"
102368,6551,"men"
102368,10999,"women"
102377,1479,"men"
102377,2761,"women"
102395,288,"men"
102395,108,"women"
102429,2142,"men"
102429,3330,"women"
102553,6844,"men"
102553,10909,"women"
102580,37,"men"
102580,36,"women"
102614,4013,"men"
102614,7010,"women"
102632,1221,"men"
102632,2243,"women"
102669,174,"men"
102669,597,"women"
102711,853,"men"
102711,217,"women"
102845,1193,"men"
102845,2787,"women"
103501,46,"men"
103501,320,"women"
103741,14,"men"
103741,337,"women"
103893,545,"men"
103893,1184,"women"
103909,294,"men"
103909,521,"women"
103927,251,"men"
103927,473,"women"
103954,5,"men"
103954,77,"women"
103963,853,"men"
103963,147,"women"
104090,123,"men"
104090,1004,"women"
104151,45449,"men"
104151,41098,"women"
104160,5347,"men"
104160,7126,"women"
104179,28099,"men"
104179,33867,"women"
104346,3163,"men"
104346,5100,"women"
104391,4,"men"
104391,141,"women"
104425,5468,"men"
104425,3336,"women"
104443,12,"men"
104443,135,"women"
104568,13,"men"
104568,551,"women"
104577,2971,"men"
104577,4122,"women"
104586,2481,"men"
104586,952,"women"
104665,3,"men"
104665,3,"women"
104708,9250,"men"
104708,11442,"women"
104717,45719,"men"
104717,124748,"women"
105145,2609,"men"
105145,5257,"women"
105154,11934,"men"
105154,13665,"women"
105206,1774,"men"
105206,3730,"women"
105215,761,"men"
105215,61,"women"
105297,643,"men"
105297,1669,"women"
105330,11549,"men"
105330,19899,"women"
105349,1805,"men"
105349,3112,"women"
105428,6188,"men"
105428,9977,"women"
105525,14705,"men"
105525,18397,"women"
105534,871,"men"
105534,3399,"women"
105543,197,"men"
105543,910,"women"
105589,277,"men"
105589,885,"women"
105659,1991,"men"
105659,227,"women"
105668,14264,"men"
105668,20023,"women"
105677,44,"men"
105677,2,"women"
105747,4950,"men"
105747,6369,"women"
105792,2540,"men"
105792,3573,"women"
105899,780,"men"
105899,588,"women"
106041,2436,"men"
106041,176,"women"
106148,4135,"men"
106148,5530,"women"
106245,3808,"men"
106245,6278,"women"
106263,980,"men"
106263,2717,"women"
106306,397,"men"
106306,125,"women"
106315,3,"men"
106315,142,"women"
106324,1,"men"
106324,77,"women"
106342,351,"men"
106342,247,"women"
106351,66,"men"
106351,51,"women"
106397,15515,"men"
106397,19087,"women"
106412,1045,"men"
106412,1260,"women"
106449,1538,"men"
106449,2489,"women"
106458,6875,"men"
106458,13438,"women"
106467,4490,"men"
106467,6293,"women"
106485,1282,"men"
106485,2095,"women"
106494,1,"men"
106494,61,"women"
106546,74,"men"
106546,666,"women"
106625,834,"men"
106625,1344,"women"
106704,3943,"men"
106704,7046,"women"
106713,335,"men"
106713,254,"women"
106795,608,"men"
106795,1100,"women"
106810,142,"men"
106810,159,"women"
106883,603,"men"
106883,1162,"women"
106908,35,"men"
106908,573,"women"
106980,1114,"men"
106980,1710,"women"
106999,532,"men"
106999,1016,"women"
107044,2444,"men"
107044,3309,"women"
107071,1012,"men"
107071,1509,"women"
107080,564,"men"
107080,554,"women"
107099,5,"men"
107099,139,"women"
107123,23,"men"
107123,89,"women"
107141,1088,"men"
107141,1688,"women"
107220,9,"men"
107220,370,"women"
107293,3,"men"
107293,113,"women"
107318,594,"men"
107318,794,"women"
107327,663,"men"
107327,1282,"women"
107442,47,"men"
107442,19,"women"
107460,1027,"men"
107460,1382,"women"
107488,212,"men"
107488,82,"women"
