unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
100654,1,999,"R",122,"R",128,"R",2515,"R",3105,"R",16,"R",15,"R",23,"R",18,"R",63,"R",42,"R",251,"R",456,"Z",0,"Z",0,"R",2990,"R",3764,"R",250,"R",5620,"R",31,"R",41,"R",105,"R",707,"Z",0,"R",6754
100654,2,1,"R",85,"R",90,"R",2198,"R",2392,"R",14,"R",9,"R",12,"R",9,"R",31,"R",16,"R",114,"R",114,"R",0,"R",0,"R",2454,"R",2630,"R",175,"R",4590,"R",23,"R",21,"R",47,"R",228,"Z",0,"R",5084
100654,4,3,"R",37,"R",38,"R",317,"R",713,"R",2,"R",6,"R",11,"R",9,"R",32,"R",26,"R",137,"R",342,"R",0,"R",0,"R",536,"R",1134,"R",75,"R",1030,"R",8,"R",20,"R",58,"R",479,"Z",0,"R",1670
100663,1,999,"R",715,"R",400,"R",1303,"R",3213,"R",29,"R",41,"R",261,"R",341,"R",68,"R",105,"R",5059,"R",6444,"R",197,"R",208,"R",7632,"R",10752,"R",1115,"R",4516,"R",70,"R",602,"R",173,"R",11503,"R",405,"R",18384
100663,2,1,"R",263,"R",184,"R",1107,"R",2562,"R",21,"R",22,"R",150,"R",207,"R",47,"R",77,"R",3413,"R",4039,"R",157,"R",171,"R",5158,"R",7262,"R",447,"R",3669,"R",43,"R",357,"R",124,"R",7452,"R",328,"R",12420
100663,3,2,"R",5,"R",2,"R",27,"R",41,"R",3,"R",6,"R",54,"R",63,"R",9,"R",3,"R",461,"R",305,"R",4,"R",0,"R",563,"R",420,"R",7,"R",68,"R",9,"R",117,"R",12,"R",766,"R",4,"R",983
100663,4,3,"R",447,"R",214,"R",169,"R",610,"R",5,"R",13,"R",57,"R",71,"R",12,"R",25,"R",1185,"R",2100,"R",36,"R",37,"R",1911,"R",3070,"R",661,"R",779,"R",18,"R",128,"R",37,"R",3285,"R",73,"R",4981
100690,1,999,"Z",0,"Z",0,"R",111,"R",86,"Z",0,"Z",0,"R",8,"R",6,"R",19,"R",18,"R",282,"R",158,"R",19,"R",13,"R",439,"R",281,"Z",0,"R",197,"Z",0,"R",14,"R",37,"R",440,"R",32,"R",720
100690,2,1,"Z",0,"Z",0,"R",53,"R",42,"Z",0,"Z",0,"R",3,"R",1,"R",17,"R",18,"R",133,"R",72,"R",13,"R",9,"R",219,"R",142,"Z",0,"R",95,"Z",0,"R",4,"R",35,"R",205,"R",22,"R",361
100690,3,2,"Z",0,"Z",0,"R",21,"R",11,"Z",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",25,"R",6,"R",1,"R",4,"R",49,"R",22,"Z",0,"R",32,"Z",0,"R",2,"R",1,"R",31,"R",5,"R",71
100690,4,3,"Z",0,"Z",0,"R",37,"R",33,"Z",0,"Z",0,"R",4,"R",4,"R",1,"Z",0,"R",124,"R",80,"R",5,"Z",0,"R",171,"R",117,"Z",0,"R",70,"Z",0,"R",8,"R",1,"R",204,"R",5,"R",288
100706,1,999,"R",419,"R",211,"R",380,"R",705,"R",76,"R",64,"R",182,"R",236,"R",87,"R",104,"R",3227,"R",2927,"R",64,"R",47,"R",4435,"R",4294,"R",630,"R",1085,"R",140,"R",418,"R",191,"R",6154,"R",111,"R",8729
100706,2,1,"R",183,"R",121,"R",337,"R",623,"R",70,"R",55,"R",147,"R",113,"R",74,"R",92,"R",2554,"R",2402,"R",63,"R",42,"R",3428,"R",3448,"R",304,"R",960,"R",125,"R",260,"R",166,"R",4956,"R",105,"R",6876
100706,4,3,"R",236,"R",90,"R",43,"R",82,"R",6,"R",9,"R",35,"R",123,"R",13,"R",12,"R",673,"R",525,"R",1,"R",5,"R",1007,"R",846,"R",326,"R",125,"R",15,"R",158,"R",25,"R",1198,"R",6,"R",1853
100724,1,999,"R",10,"R",6,"R",2394,"R",3645,"R",4,"R",2,"R",7,"R",7,"R",6,"R",11,"R",239,"R",447,"R",22,"R",32,"R",2682,"R",4150,"R",16,"R",6039,"R",6,"R",14,"R",17,"R",686,"R",54,"R",6832
100724,2,1,"R",10,"R",6,"R",2140,"R",2940,"R",4,"R",0,"R",6,"R",3,"R",5,"R",7,"R",119,"R",142,"R",17,"R",20,"R",2301,"R",3118,"R",16,"R",5080,"R",4,"R",9,"R",12,"R",261,"R",37,"R",5419
100724,4,3,"R",0,"R",0,"R",254,"R",705,"R",0,"R",2,"R",1,"R",4,"R",1,"R",4,"R",120,"R",305,"R",5,"R",12,"R",381,"R",1032,"Z",0,"R",959,"R",2,"R",5,"R",5,"R",425,"R",17,"R",1413
100751,1,999,"R",768,"R",421,"R",1129,"R",1938,"R",70,"R",67,"R",118,"R",122,"R",107,"R",118,"R",8210,"R",9265,"Z",0,"Z",0,"R",10402,"R",11931,"R",1189,"R",3067,"R",137,"R",240,"R",225,"R",17475,"Z",0,"R",22333
100751,2,1,"R",352,"R",233,"R",991,"R",1604,"R",56,"R",51,"R",98,"R",99,"R",83,"R",86,"R",6642,"R",6985,"Z",0,"Z",0,"R",8222,"R",9058,"R",585,"R",2595,"R",107,"R",197,"R",169,"R",13627,"Z",0,"R",17280
100751,3,2,"R",6,"R",6,"R",16,"R",29,"R",5,"R",1,"R",5,"R",6,"R",1,"R",4,"R",341,"R",193,"Z",0,"Z",0,"R",374,"R",239,"R",12,"R",45,"R",6,"R",11,"R",5,"R",534,"Z",0,"R",613
100751,4,3,"R",410,"R",182,"R",122,"R",305,"R",9,"R",15,"R",15,"R",17,"R",23,"R",28,"R",1227,"R",2087,"Z",0,"Z",0,"R",1806,"R",2634,"R",592,"R",427,"R",24,"R",32,"R",51,"R",3314,"Z",0,"R",4440
100760,1,999,"Z",0,"Z",0,"R",118,"R",499,"R",3,"R",3,"R",3,"R",4,"R",6,"R",13,"R",741,"R",1192,"R",7,"R",7,"R",878,"R",1718,"Z",0,"R",617,"R",6,"R",7,"R",19,"R",1933,"R",14,"R",2596
