UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
100654,1,999,"R",197,"R",200,"R",2828,"R",3584,"R",7,"R",11,"R",11,"R",14,"R",15,"R",15,"R",212,"R",540,"R",3,"R",1,"R",3273,"R",4365,"R",397,"R",6412,"R",18,"R",25,"R",30,"R",752,"R",4,"R",7638
100654,2,  1,"R",102,"R",114,"R",2582,"R",2854,"R",5,"R",5,"R",6,"R",7,"R",12,"R",13,"R",93,"R",116,"R",1,"R",1,"R",2801,"R",3110,"R",216,"R",5436,"R",10,"R",13,"R",25,"R",209,"R",2,"R",5911
100654,4,  3,"R",95,"R",86,"R",246,"R",730,"R",2,"R",6,"R",5,"R",7,"R",3,"R",2,"R",119,"R",424,"R",2,"Z",0,"R",472,"R",1255,"R",181,"R",976,"R",8,"R",12,"R",5,"R",543,"R",2,"R",1727
100663,1,999,"R",827,"R",520,"R",1446,"R",3785,"R",43,"R",47,"R",287,"R",371,"R",73,"R",129,"R",5351,"R",7025,"R",180,"R",235,"R",8207,"R",12112,"R",1347,"R",5231,"R",90,"R",658,"R",202,"R",12376,"R",415,"R",20319
100663,2,  1,"R",268,"R",223,"R",1248,"R",3041,"R",33,"R",32,"R",162,"R",234,"R",55,"R",89,"R",3621,"R",4324,"R",143,"R",186,"R",5530,"R",8129,"R",491,"R",4289,"R",65,"R",396,"R",144,"R",7945,"R",329,"R",13659
100663,3,  2,"R",6,"R",1,"R",22,"R",40,"R",5,"R",3,"R",60,"R",57,"R",2,"R",5,"R",470,"R",322,"R",4,"Z",0,"R",569,"R",428,"R",7,"R",62,"R",8,"R",117,"R",7,"R",792,"R",4,"R",997
100663,4,  3,"R",553,"R",296,"R",176,"R",704,"R",5,"R",12,"R",65,"R",80,"R",16,"R",35,"R",1260,"R",2379,"R",33,"R",49,"R",2108,"R",3555,"R",849,"R",880,"R",17,"R",145,"R",51,"R",3639,"R",82,"R",5663
100690,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",557,"R",473,"R",557,"R",473,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1030,"R",1030
100690,2,  1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",274,"R",240,"R",274,"R",240,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",514,"R",514
100690,3,  2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",60,"R",88,"R",60,"R",88,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",148,"R",148
