UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
100654,1,999,"R",247,"R",242,"R",3473,"R",4536,"R",9,"R",10,"R",7,"R",19,"R",17,"R",22,"R",241,"R",626,"Z",0,"R",2,"R",3994,"R",5457,"R",489,"R",8009,"R",19,"R",26,"R",39,"R",867,"R",2,"R",9451
100654,2,  1,"R",107,"R",108,"R",3139,"R",3505,"R",7,"R",5,"R",5,"R",7,"R",13,"R",18,"R",92,"R",114,"Z",0,"R",1,"R",3363,"R",3758,"R",215,"R",6644,"R",12,"R",12,"R",31,"R",206,"R",1,"R",7121
100654,4,  3,"R",140,"R",134,"R",334,"R",1031,"R",2,"R",5,"R",2,"R",12,"R",4,"R",4,"R",149,"R",512,"Z",0,"R",1,"R",631,"R",1699,"R",274,"R",1365,"R",7,"R",14,"R",8,"R",661,"R",1,"R",2330
100663,1,999,"R",797,"R",506,"R",1410,"R",3906,"R",37,"R",52,"R",285,"R",392,"R",86,"R",133,"R",5259,"R",7251,"R",143,"R",221,"R",8017,"R",12461,"R",1303,"R",5316,"R",89,"R",677,"R",219,"R",12510,"R",364,"R",20478
100663,2,  1,"R",231,"R",196,"R",1211,"R",3158,"R",26,"R",32,"R",175,"R",252,"R",60,"R",88,"R",3593,"R",4549,"R",118,"R",188,"R",5414,"R",8463,"R",427,"R",4369,"R",58,"R",427,"R",148,"R",8142,"R",306,"R",13877
100663,3,  2,"R",2,"Z",0,"R",22,"R",46,"R",4,"R",3,"R",50,"R",54,"R",5,"R",6,"R",467,"R",329,"R",4,"Z",0,"R",554,"R",438,"R",2,"R",68,"R",7,"R",104,"R",11,"R",796,"R",4,"R",992
100663,4,  3,"R",564,"R",310,"R",177,"R",702,"R",7,"R",17,"R",60,"R",86,"R",21,"R",39,"R",1199,"R",2373,"R",21,"R",33,"R",2049,"R",3560,"R",874,"R",879,"R",24,"R",146,"R",60,"R",3572,"R",54,"R",5609
100690,1,999,"Z",0,"Z",0,"R",143,"R",165,"Z",0,"Z",0,"R",2,"R",8,"R",13,"R",10,"R",344,"R",251,"R",54,"R",37,"R",556,"R",471,"Z",0,"R",308,"Z",0,"R",10,"R",23,"R",595,"R",91,"R",1027
100690,2,  1,"Z",0,"Z",0,"R",64,"R",76,"Z",0,"Z",0,"R",1,"R",3,"R",10,"R",10,"R",179,"R",141,"R",34,"R",20,"R",288,"R",250,"Z",0,"R",140,"Z",0,"R",4,"R",20,"R",320,"R",54,"R",538
100690,3,  2,"Z",0,"Z",0,"R",32,"R",14,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",39,"R",6,"R",6,"R",2,"R",78,"R",22,"Z",0,"R",46,"Z",0,"R",1,"Z",0,"R",45,"R",8,"R",100
100690,4,  3,"Z",0,"Z",0,"R",47,"R",75,"Z",0,"Z",0,"Z",0,"R",5,"R",3,"Z",0,"R",126,"R",104,"R",14,"R",15,"R",190,"R",199,"Z",0,"R",122,"Z",0,"R",5,"R",3,"R",230,"R",29,"R",389
100706,1,999,"R",371,"R",161,"R",375,"R",748,"R",49,"R",58,"R",168,"R",141,"R",71,"R",82,"R",3322,"R",2787,"R",19,"R",14,"R",4375,"R",3991,"R",532,"R",1123,"R",107,"R",309,"R",153,"R",6109,"R",33,"R",8366
100706,2,  1,"R",147,"R",60,"R",330,"R",664,"R",45,"R",50,"R",129,"R",122,"R",58,"R",72,"R",2570,"R",2308,"R",11,"R",12,"R",3290,"R",3288,"R",207,"R",994,"R",95,"R",251,"R",130,"R",4878,"R",23,"R",6578
100706,4,  3,"R",224,"R",101,"R",45,"R",84,"R",4,"R",8,"R",39,"R",19,"R",13,"R",10,"R",752,"R",479,"R",8,"R",2,"R",1085,"R",703,"R",325,"R",129,"R",12,"R",58,"R",23,"R",1231,"R",10,"R",1788
100724,1,999,"R",4,"R",15,"R",2386,"R",3871,"R",2,"R",3,"R",4,"R",4,"R",9,"R",15,"R",193,"R",326,"R",23,"R",40,"R",2621,"R",4274,"R",19,"R",6257,"R",5,"R",8,"R",24,"R",519,"R",63,"R",6895
100724,2,  1,"R",3,"R",12,"R",2099,"R",3053,"R",1,"R",2,"R",4,"R",2,"R",8,"R",12,"R",94,"R",111,"R",14,"R",24,"R",2223,"R",3216,"R",15,"R",5152,"R",3,"R",6,"R",20,"R",205,"R",38,"R",5439
100724,4,  3,"R",1,"R",3,"R",287,"R",818,"R",1,"R",1,"Z",0,"R",2,"R",1,"R",3,"R",99,"R",215,"R",9,"R",16,"R",398,"R",1058,"R",4,"R",1105,"R",2,"R",2,"R",4,"R",314,"R",25,"R",1456
100751,1,999,"R",585,"R",557,"R",1105,"R",1907,"R",75,"R",85,"R",118,"R",132,"R",128,"R",164,"R",9112,"R",10039,"R",16,"R",22,"R",11139,"R",12906,"R",1142,"R",3012,"R",160,"R",250,"R",292,"R",19151,"R",38,"R",24045
100751,2,  1,"R",195,"R",290,"R",943,"R",1491,"R",56,"R",63,"R",92,"R",100,"R",102,"R",113,"R",7375,"R",7688,"R",16,"R",21,"R",8779,"R",9766,"R",485,"R",2434,"R",119,"R",192,"R",215,"R",15063,"R",37,"R",18545
100751,3,  2,"R",5,"R",2,"R",18,"R",25,"R",7,"R",1,"R",6,"R",1,"R",2,"R",1,"R",345,"R",205,"Z",0,"Z",0,"R",383,"R",235,"R",7,"R",43,"R",8,"R",7,"R",3,"R",550,"Z",0,"R",618
