VarName,VarNumber,CodeValue,TableName,ORDINAL_POSITION,VarName1,CodeValue1,ValueLabel,Frequency,Percent
EFFYALEV,20662,1,EFFY2024,2,EFFYALEV,1,All students total,5861,5.095
EFFYALEV,20662,2,EFFY2024,2,EFFYALEV,2,Undergraduate total,5595,4.864
EFFYALEV,20662,3,EFFY2024,2,EFFYALEV,3,Degree/certificate-seeking total ,5592,4.862
EFFYALEV,20662,4,EFFY2024,2,EFFYALEV,4,First time,5423,4.715
EFFYALEV,20662,5,EFFY2024,2,EFFYALEV,5,Other degree/certificate-seeking,5586,4.856
EFFYALEV,20662,19,EFFY2024,2,EFFYALEV,19,Transfer-ins,3503,3.045
EFFYALEV,20662,20,EFFY2024,2,EFFYALEV,20,Continuing,5576,4.848
EFFYALEV,20662,11,EFFY2024,2,EFFYALEV,11,Non-degree/certificate-seeking,2902,2.523
EFFYALEV,20662,12,EFFY2024,2,EFFYALEV,12,Graduate,2047,1.78
EFFYALEV,20662,21,EFFY2024,2,EFFYALEV,21,Full time students total,5818,5.058
EFFYALEV,20662,22,EFFY2024,2,EFFYALEV,22,Full-time undergraduate total,5540,4.816
EFFYALEV,20662,23,EFFY2024,2,EFFYALEV,23,Degree/certificate-seeking total,5538,4.815
EFFYALEV,20662,24,EFFY2024,2,EFFYALEV,24,First time ,5355,4.655
EFFYALEV,20662,25,EFFY2024,2,EFFYALEV,25,Other degree/certificate-seeking,5528,4.806
EFFYALEV,20662,39,EFFY2024,2,EFFYALEV,39,Transfer-ins,3479,3.025
EFFYALEV,20662,40,EFFY2024,2,EFFYALEV,40,Continuing,5515,4.795
EFFYALEV,20662,31,EFFY2024,2,EFFYALEV,31,Non-degree/certificate-seeking,2431,2.113
EFFYALEV,20662,32,EFFY2024,2,EFFYALEV,32,Graduate,2001,1.74
EFFYALEV,20662,41,EFFY2024,2,EFFYALEV,41,Part time students total,4361,3.791
EFFYALEV,20662,42,EFFY2024,2,EFFYALEV,42,Part-time undergraduate total,4120,3.582
EFFYALEV,20662,43,EFFY2024,2,EFFYALEV,43,Degree/certificate-seeking total,4090,3.556
EFFYALEV,20662,44,EFFY2024,2,EFFYALEV,44,First time,3528,3.067
EFFYALEV,20662,45,EFFY2024,2,EFFYALEV,45,Other degree/certificate-seeking,4078,3.545
EFFYALEV,20662,59,EFFY2024,2,EFFYALEV,59,Transfer-ins,2823,2.454
EFFYALEV,20662,60,EFFY2024,2,EFFYALEV,60,Continuing,4058,3.528
EFFYALEV,20662,51,EFFY2024,2,EFFYALEV,51,Non-degree/certificate-seeking,2800,2.434
EFFYALEV,20662,52,EFFY2024,2,EFFYALEV,52,Graduate,1878,1.633
EFFYLEV,20661,1,EFFY2024,3,EFFYLEV,1,All students total,5861,5.095
EFFYLEV,20661,2,EFFY2024,3,EFFYLEV,2,Undergraduate,5595,4.864
EFFYLEV,20661,4,EFFY2024,3,EFFYLEV,4,Graduate,2047,1.78
EFFYLEV,20661,-2,EFFY2024,3,EFFYLEV,-2,"Not applicable, undergraduate detail",101523,88.261
LSTUDY,22023,1,EFFY2024,4,LSTUDY,1,Undergraduate,93060,80.903
LSTUDY,22023,3,EFFY2024,4,LSTUDY,3,Graduate,5926,5.152
LSTUDY,22023,999,EFFY2024,4,LSTUDY,999,Generated total,16040,13.945
