"unitid","Year","Murder","Negligent Manslaughter","Rape","Fondling","Incest","Statuatory Rape","Robbery","Aggravated Assault","Burglary","Motor Vehicle Theft","Arson"
100654001,"2019",0,0,4,2,0,0,0,0,19,0,0
100663001,"2019",0,0,6,15,0,0,2,4,11,4,0
100663002,"2019",0,0,0,0,0,0,0,0,0,0,0
100706001,"2019",0,0,0,1,0,0,0,4,19,4,0
100724001,"2019",0,0,0,0,0,0,4,3,13,0,0
100751001,"2019",0,0,28,4,0,0,3,6,26,1,0
100751002,"2019",0,0,0,0,0,0,0,0,0,0,0
100760001,"2019",0,0,0,0,0,0,0,0,0,1,0
100760002,"2019",0,0,0,0,0,0,0,0,0,0,0
100760003,"2019",0,0,0,0,0,0,0,0,0,0,0
100760004,"2019",0,0,0,0,0,0,0,0,0,0,0
100812001,"2019",0,0,0,0,0,0,0,0,1,0,0
100830001,"2019",0,0,1,0,0,0,0,3,0,0,0
100858001,"2019",0,0,12,0,0,0,0,12,36,5,4
100858002,"2019",0,0,0,0,0,0,0,0,0,0,0
100858003,"2019",0,0,0,0,0,0,0,0,0,0,0
100858004,"2019",0,0,0,0,0,0,0,0,2,0,0
100858005,"2019",0,0,0,0,0,0,0,0,1,0,0
100858006,"2019",0,0,0,0,0,0,0,0,0,0,0
100858007,"2019",0,0,0,0,0,0,0,0,1,0,0
100858010,"2019",0,0,0,0,0,0,0,0,0,0,0
100858011,"2019",0,0,0,0,0,0,0,0,0,0,0
100858012,"2019",0,0,0,0,0,0,0,0,0,0,0
100858013,"2019",0,0,0,0,0,0,0,0,0,0,0
100937001,"2019",0,0,2,0,0,0,0,0,7,1,1
101028001,"2019",0,0,0,0,0,0,0,0,1,0,0
101116001,"2019",0,0,0,0,0,0,0,0,0,0,0
101143001,"2019",0,0,0,0,0,0,0,0,2,0,0
101143002,"2019",0,0,0,0,0,0,0,0,0,0,0
101161001,"2019",0,0,0,0,0,0,0,0,2,0,0
101161002,"2019",0,0,0,0,0,0,0,0,0,0,0
101161003,"2019",0,0,0,0,0,0,0,0,0,0,0
101161004,"2019",0,0,0,0,0,0,0,0,1,0,0
101161005,"2019",0,0,0,0,0,0,0,0,0,0,0
101161006,"2019",0,0,0,0,0,0,0,0,1,0,0
101161007,"2019",0,0,0,0,0,0,0,0,1,0,0
101161008,"2019",0,0,0,0,0,0,0,0,0,0,0
101161009,"2019",0,0,0,0,0,0,0,0,0,0,0
101161011,"2019",0,0,0,1,0,0,0,0,0,0,0
101189001,"2019",0,0,0,0,0,0,0,0,2,0,0
101189002,"2019",0,0,0,0,0,0,0,0,0,0,0
101189003,"2019",0,0,0,0,0,0,0,0,0,0,0
101189004,"2019",0,0,0,0,0,0,0,0,0,0,0
101240001,"2019",0,0,0,0,0,0,0,0,0,0,0
101277001,"2019",0,0,0,0,0,0,0,0,0,0,0
101286001,"2019",0,0,0,0,0,0,0,0,0,0,0
101286004,"2019",0,0,0,0,0,0,0,0,0,0,0
101295001,"2019",0,0,0,0,0,0,0,0,0,0,0
101301001,"2019",0,0,0,0,0,0,0,0,0,0,0
101365001,"2019",0,0,0,0,0,0,0,0,0,0,0
101435001,"2019",0,0,0,0,0,0,0,1,1,1,0
101453001,"2019",0,0,0,0,0,0,0,0,0,0,0
