"unitid","Year","Weapon Possession (Discipline)","Drug Law Violation","Liquor Law Violation"
"100654","2023",14,36,2
"100706","2023",0,16,15
"100724","2023",1,8,0
"100751","2023",9,92,768
"100812","2023",0,0,0
"100830","2023",0,2,8
"101028","2023",0,0,0
"101116","2023",0,0,0
"101240","2023",0,0,0
"101277","2023",0,0,0
"101295","2023",0,1,0
"101365","2023",0,0,0
"101435","2023",0,1,1
"101453","2023",0,0,0
"101462","2023",0,0,0
"101471","2023",0,0,0
"101480","2023",0,44,14
"101587","2023",0,1,0
"101648","2023",1,2,29
"101675","2023",2,3,0
"101693","2023",0,1,5
"101709","2023",0,5,23
"101897","2023",0,0,0
"101912","2023",0,5,0
"101994","2023",0,0,0
"102270","2023",0,0,0
"102298","2023",0,1,0
"102377","2023",1,7,11
"102395","2023",0,0,0
"102580","2023",0,0,0
"102669","2023",0,0,0
"103501","2023",0,0,0
"103741","2023",0,0,0
"103909","2023",0,0,0
"103927","2023",0,0,0
"103954","2023",0,0,0
"103963","2023",0,0,0
"104090","2023",0,0,0
"104391","2023",0,0,0
"104443","2023",0,0,0
"104568","2023",0,0,0
"104586","2023",0,4,41
"104717","2023",0,172,700
"105215","2023",0,0,0
"105534","2023",0,0,0
"105543","2023",0,0,0
"105589","2023",0,0,1
"105659","2023",0,0,0
"105677","2023",0,0,0
"105747","2023",0,0,0
"105899","2023",0,5,15
"106041","2023",1,0,0
"106306","2023",2,5,3
"106315","2023",0,0,0
"106324","2023",0,0,0
"106342","2023",0,0,3
"106397","2023",4,85,470
"106458","2023",0,22,38
"106494","2023",0,0,0
"106546","2023",0,0,0
"106704","2023",0,33,24
"106713","2023",0,0,0
"106810","2023",0,0,0
"106883","2023",0,0,0
"106980","2023",0,1,3
"106999","2023",0,0,0
"107071","2023",3,28,21
"107080","2023",1,23,36
"107099","2023",0,0,0
"107123","2023",0,0,0
"107293","2023",0,0,0
"107318","2023",0,0,0
"107442","2023",0,0,0
"107460","2023",0,0,0
"107488","2023",0,0,0
"107512","2023",0,1,11
"107521","2023",0,0,0
"107558","2023",1,14,23
"107585","2023",0,0,0
"107600","2023",0,0,0
"107637","2023",0,0,0
"107655","2023",0,0,0
"107664","2023",0,0,0
"107743","2023",0,0,0
"107789","2023",0,0,0
"107831","2023",0,0,0
"107840","2023",0,0,0
"107877","2023",0,5,0
"107983","2023",0,0,9
"107992","2023",0,0,0
"108065","2023",0,0,0
"108092","2023",0,14,22
"108232","2023",0,5,11
"108269","2023",0,0,0
"108667","2023",0,0,0
"108852","2023",0,0,0
"108861","2023",0,0,0
"108870","2023",0,0,0
"109040","2023",0,0,0
"109350","2023",0,0,0
"109721","2023",0,0,0
"109907","2023",0,0,0
"109934","2023",0,0,0
"110060","2023",0,0,0
"110194","2023",0,0,0
"110219","2023",0,0,0
"110246","2023",0,2,2
"110316","2023",0,0,0
"110370","2023",0,1,1
"110398","2023",0,0,0
"110404","2023",0,5,129
"110422","2023",1,1,0
"110486","2023",0,0,0
"110529","2023",0,12,1
"110547","2023",1,7,3
"110583","2023",5,7,4
"110608","2023",0,3,11
"110617","2023",1,25,4
"110662","2023",0,65,201
"110680","2023",1,68,333
"110705","2023",2,43,27
"110714","2023",3,125,224
"110875","2023",0,0,0
"111045","2023",0,0,0
"111054","2023",0,0,0
"111081","2023",0,0,0
"111391","2023",0,0,0
"111434","2023",0,0,0
"111461","2023",1,0,0
"111513","2023",0,0,0
"111708","2023",0,0,0
"111717","2023",0,0,0
"111726","2023",0,0,0
"111744","2023",0,0,0
"111762","2023",0,0,0
"111799","2023",0,0,0
"111887","2023",0,0,0
"111966","2023",0,0,0
"112084","2023",0,0,0
"112127","2023",0,0,0
"112172","2023",0,0,0
"112181","2023",0,0,0
"112251","2023",0,0,0
"112260","2023",0,4,0
"112288","2023",0,0,0
"112367","2023",0,0,0
"112394","2023",0,0,0
"112455","2023",0,0,0
"112561","2023",0,0,0
"112570","2023",0,0,0
"112686","2023",0,0,0
"112826","2023",0,0,0
"113111","2023",0,0,0
"113218","2023",0,0,0
"113333","2023",0,0,0
"113449","2023",0,0,0
"113582","2023",0,0,0
"113634","2023",0,0,0
"113698","2023",0,0,0
"113704","2023",0,0,0
"114114","2023",0,0,0
"114266","2023",0,0,0
"114354","2023",0,0,0
"114433","2023",0,0,0
"114460","2023",0,0,0
"114549","2023",0,0,0
"114637","2023",0,0,0
"114716","2023",0,0,0
"114734","2023",0,3,1
"114761","2023",0,0,0
"114859","2023",0,1,0
"114947","2023",0,0,0
"115010","2023",0,0,0
"115083","2023",0,0,0
"115126","2023",0,0,0
"115214","2023",0,0,0
"115296","2023",0,0,0
"115357","2023",0,0,0
"115409","2023",0,0,0
"115658","2023",0,0,0
"115746","2023",0,0,0
"115861","2023",0,0,0
"115931","2023",0,0,0
"116226","2023",0,0,0
"116563","2023",0,0,0
"116846","2023",0,0,0
"117052","2023",0,0,0
"117104","2023",1,1,1
"117168","2023",0,0,0
"117195","2023",0,0,0
"117238","2023",0,0,0
"117247","2023",0,0,0
"117274","2023",0,4,3
"117283","2023",0,0,0
"117520","2023",0,0,0
"117575","2023",0,0,0
"117636","2023",0,0,0
"117672","2023",0,0,0
"117690","2023",0,0,0
"117706","2023",0,0,0
"117715","2023",0,0,0
"117724","2023",0,0,0
"117733","2023",0,0,0
"117788","2023",0,0,0
"117803","2023",0,0,0
"117867","2023",0,0,0
"117894","2023",0,0,0
"117955","2023",0,0,0
"118134","2023",0,0,0
"118143","2023",0,0,0
"118161","2023",0,0,0
"118198","2023",0,0,0
"118693","2023",0,24,46
"118772","2023",0,0,0
"118930","2023",0,0,0
"118958","2023",0,0,0
"119058","2023",0,0,0
"119137","2023",0,0,0
"119164","2023",0,0,0
"119775","2023",0,0,0
"120069","2023",0,0,0
"120078","2023",0,0,0
"120087","2023",0,0,0
"120184","2023",0,0,0
"120254","2023",3,45,72
"120403","2023",0,4,4
"120537","2023",0,0,0
"120661","2023",0,0,0
"120698","2023",0,0,0
"120768","2023",0,0,0
"120795","2023",0,0,0
"120838","2023",0,0,0
"120865","2023",0,0,0
"121257","2023",0,3,9
"121345","2023",1,3,22
"121363","2023",0,0,0
"121433","2023",0,0,0
"121628","2023",0,0,0
"121637","2023",0,0,0
"121859","2023",0,0,0
"121868","2023",0,0,0
"121901","2023",0,0,0
"122117","2023",0,0,0
"122205","2023",0,0,0
"122339","2023",0,0,0
"122375","2023",0,0,0
"122384","2023",0,0,0
"122506","2023",0,0,0
"122649","2023",0,0,0
"122685","2023",0,0,0
"122694","2023",0,0,0
"122746","2023",0,0,0
"122791","2023",0,0,0
"123095","2023",0,0,0
"123165","2023",0,6,1
"123280","2023",0,0,0
"123350","2023",0,0,0
"123448","2023",0,0,0
"123457","2023",0,0,0
"123493","2023",0,0,0
"123509","2023",0,0,0
"123554","2023",0,0,7
"123572","2023",6,2,3
"123642","2023",0,0,0
"123651","2023",0,25,15
"123679","2023",0,0,0
"123943","2023",0,0,0
"123952","2023",0,0,0
"123970","2023",0,0,0
"124113","2023",0,0,0
"124283","2023",0,0,0
"124487","2023",0,0,0
