"UNITID","YEAR","Total Students"
100654,"2024",7120
100654,"2023",6627
100654,"2022",6681
100663,"2024",24893
100663,"2023",25357
100663,"2022",25963
100690,"2024",861
100690,"2023",870
100690,"2022",916
100706,"2024",9916
100706,"2023",10515
100706,"2022",11142
100724,"2024",4308
100724,"2023",4255
100724,"2022",4425
100751,"2024",43627
100751,"2023",42869
100751,"2022",42327
100760,"2024",2737
100760,"2023",2464
100760,"2022",2218
100812,"2024",3925
100812,"2023",3945
100812,"2022",3844
100830,"2024",6526
100830,"2023",6464
100830,"2022",6309
100858,"2024",37008
100858,"2023",35381
100858,"2022",34059
100937,"2023",1000
100937,"2022",1105
101028,"2024",2337
101028,"2023",2283
101028,"2022",1867
101116,"2024",563
101116,"2023",609
101116,"2022",655
101143,"2024",3096
101143,"2023",2840
101143,"2022",2539
101161,"2024",9200
101161,"2023",9213
101161,"2022",9388
101189,"2024",3688
101189,"2023",3456
101189,"2022",3507
101240,"2024",6385
101240,"2023",5878
101240,"2022",5780
101277,"2024",54
101277,"2023",79
101277,"2022",114
101286,"2024",5511
101286,"2023",5259
101286,"2022",5144
101295,"2024",8238
101295,"2023",8169
101295,"2022",7868
101301,"2024",2782
101301,"2023",2738
101301,"2022",2489
101365,"2024",892
101365,"2023",1049
101365,"2022",1126
101435,"2024",902
101435,"2023",847
101435,"2022",901
101453,"2024",191
101453,"2023",190
101453,"2022",163
101462,"2024",1524
101462,"2023",1378
101462,"2022",1260
101471,"2024",1726
101471,"2023",1553
101471,"2022",699
101480,"2024",11369
101480,"2023",11071
101480,"2022",11032
101505,"2024",12720
101505,"2023",12436
101505,"2022",12041
101514,"2024",13318
101514,"2023",12591
101514,"2022",12815
101569,"2024",4739
101569,"2023",4531
101569,"2022",4492
101587,"2024",9464
101587,"2023",8933
101587,"2022",8789
101602,"2024",2821
101602,"2023",2687
101602,"2022",2419
101648,"2024",325
101648,"2023",338
101648,"2022",329
101675,"2024",1617
101675,"2023",1720
101675,"2022",1712
101693,"2024",1994
101693,"2023",1903
101693,"2022",2066
101709,"2024",3860
101709,"2023",2935
101709,"2022",2894
101736,"2024",5676
101736,"2023",5472
101736,"2022",4475
101879,"2024",12537
101879,"2023",12159
101879,"2022",10645
101897,"2024",4009
101897,"2023",3581
101897,"2022",3350
101912,"2024",1459
101912,"2023",1650
101912,"2022",1639
101994,"2024",697
101994,"2023",637
101994,"2022",501
102030,"2024",4895
102030,"2023",4222
102030,"2022",3880
102049,"2024",6227
102049,"2023",6043
102049,"2022",6140
102058,"2024",92
102058,"2023",62
102058,"2022",44
102067,"2024",7400
102067,"2023",7099
102067,"2022",7024
102076,"2024",7821
102076,"2023",6445
102076,"2022",4992
102094,"2024",15943
102094,"2023",15488
102094,"2022",16101
102234,"2024",1134
102234,"2023",1215
102234,"2022",1317
102270,"2024",904
102270,"2023",983
102270,"2022",864
102298,"2024",1317
102298,"2023",1337
102298,"2022",1470
102313,"2024",2766
102313,"2023",2772
102313,"2022",2549
102368,"2024",17550
102368,"2023",17868
102368,"2022",18782
102377,"2024",4240
102377,"2023",3037
102377,"2022",2904
102395,"2024",396
102395,"2023",297
102395,"2022",300
102429,"2024",5472
102429,"2023",5204
102429,"2022",4884
102553,"2024",17753
102553,"2023",17352
102553,"2022",17368
102580,"2024",73
102580,"2023",45
102580,"2022",52
102614,"2024",11023
102614,"2023",10975
102614,"2022",10804
102632,"2024",3464
102632,"2023",3383
102632,"2022",3473
102669,"2024",771
102669,"2023",758
102669,"2022",691
102711,"2024",1070
102711,"2023",980
102711,"2022",913
102845,"2024",3980
102845,"2023",3560
102845,"2022",3735
103501,"2024",366
103501,"2023",389
103501,"2022",474
103741,"2024",351
103741,"2023",313
103741,"2022",235
103893,"2024",1729
103893,"2023",1819
103893,"2022",1977
103909,"2024",815
103909,"2023",859
103909,"2022",931
103927,"2024",724
103927,"2023",750
103927,"2022",781
103954,"2024",82
103954,"2023",64
103954,"2022",72
103963,"2024",1000
103963,"2023",734
103963,"2022",689
104090,"2024",1127
104090,"2023",1208
104090,"2022",1465
104151,"2024",86547
104151,"2023",87154
104151,"2022",85163
104160,"2024",12473
104160,"2023",12066
104160,"2022",12342
104179,"2024",61966
104179,"2023",55911
104179,"2022",54374
104346,"2024",8263
104346,"2023",7853
104346,"2022",8285
104391,"2024",145
104391,"2023",131
104391,"2022",100
