"Year","UNITID","Total","Undergraduate","Graduate","First-Time Students"
2014,100654,5333,4210,1123,1194
2014,100663,18698,11679,7019,1719
2014,100690,625,291,334,6
2014,100706,7348,5618,1730,714
2014,100724,5519,4812,707,1068
2014,100751,36047,30752,5295,6794
2014,100760,1726,1726,NA,518
2014,100812,3128,3128,NA,NA
2014,100830,5057,4377,680,637
2014,100858,25912,20629,5283,4552
2014,100937,1185,1185,NA,352
2014,101028,1805,1805,NA,338
2014,101073,546,546,NA,47
2014,101116,624,523,101,31
2014,101143,2011,2011,NA,316
2014,101161,4481,4481,NA,970
2014,101189,3335,2670,665,385
2014,101240,5289,5289,NA,1044
2014,101277,115,115,NA,53
2014,101286,4854,4854,NA,858
2014,101295,5343,5343,NA,935
2014,101301,1663,1663,NA,383
2014,101365,309,305,4,27
2014,101435,1160,1160,NA,227
2014,101453,93,62,31,2
2014,101462,1062,1062,NA,167
2014,101471,473,473,NA,272
2014,101480,8659,7647,1012,1169
2014,101499,1086,1086,NA,258
2014,101505,8516,8516,NA,1096
2014,101514,10802,10802,NA,1260
2014,101541,378,378,NA,82
2014,101569,3090,3090,NA,649
2014,101587,3989,1922,2067,348
2014,101602,1599,1599,NA,447
2014,101648,439,439,NA,278
2014,101675,1782,1782,NA,486
2014,101693,1600,1466,134,274
2014,101709,3070,2664,406,530
2014,101736,3891,3891,NA,684
2014,101879,6841,5885,956,931
2014,101897,2708,2708,NA,534
2014,101912,1939,1880,59,374
2014,101949,1398,1398,NA,436
2014,101958,84,84,NA,40
2014,101994,549,549,NA,83
2014,102030,3320,3320,NA,684
2014,102049,4933,3051,1882,728
2014,102058,558,539,19,140
2014,102067,4978,4978,NA,718
2014,102076,2258,2258,NA,707
2014,102094,15805,11479,4326,2033
2014,102234,1376,1237,139,362
2014,102261,173,173,NA,11
2014,102270,1056,1056,NA,321
2014,102298,879,879,NA,282
2014,102313,1338,1338,NA,229
2014,102368,19041,15114,3927,1502
2014,102377,3103,2588,515,634
2014,102395,339,99,240,NA
2014,102429,3609,3609,NA,760
2014,102553,17151,16291,860,1388
2014,102580,46,46,NA,14
2014,102614,8620,7484,1136,739
2014,102632,2989,2681,308,154
2014,102669,579,326,253,18
2014,102711,889,889,NA,203
2014,102845,3267,3256,11,437
2014,103501,479,479,NA,226
2014,103644,4102,4102,NA,12
2014,103723,83,83,NA,NA
2014,103732,25,25,NA,5
2014,103741,126,126,NA,28
2014,103778,798,1,797,NA
2014,103787,91,91,NA,24
2014,103811,266,266,NA,111
2014,103893,617,617,NA,131
2014,103909,718,718,NA,70
2014,103927,424,424,NA,51
2014,103945,176,176,NA,21
2014,103954,32,32,NA,6
2014,103963,628,628,NA,305
2014,104090,1468,1429,39,411
2014,104151,50320,39961,10359,7594
2014,104160,7702,7702,NA,782
2014,104179,42236,32987,9249,6974
2014,104188,172,161,11,19
2014,104346,5937,5937,NA,536
2014,104364,611,611,NA,95
2014,104391,54,54,NA,50
2014,104425,4379,4379,NA,553
2014,104434,60,60,NA,38
2014,104443,97,97,NA,24
2014,104504,130,130,NA,24
2014,104568,360,360,NA,150
2014,104577,6379,6379,NA,468
2014,104586,2035,1984,51,503
2014,104665,8,NA,8,NA
2014,104708,20506,20506,NA,1981
2014,104717,62304,39400,22904,2039
2014,104911,188,188,NA,60
2014,105145,5950,5950,NA,302
2014,105154,22711,22711,NA,1836
2014,105163,400,400,NA,50
2014,105172,445,445,NA,57
2014,105206,4744,4744,NA,215
2014,105215,1724,1724,NA,254
2014,105297,1488,1488,NA,181
2014,105330,27705,23328,4377,4383
2014,105349,3211,3211,NA,72
2014,105367,662,357,305,NA
2014,105428,12107,12107,NA,742
2014,105482,87,87,NA,13
2014,105525,28070,28070,NA,2452
2014,105534,1948,1948,NA,534
2014,105543,892,892,NA,221
2014,105589,848,464,384,41
2014,105659,695,695,NA,202
2014,105668,20215,20215,NA,113
2014,105677,42,42,NA,10
2014,105701,85,85,NA,39
2014,105747,9863,9863,NA,847
2014,105792,4287,4287,NA,390
2014,105899,737,737,NA,154
2014,105987,356,356,NA,139
2014,106041,2340,2340,NA,463
2014,106102,1374,996,378,8
2014,106111,126,126,NA,25
2014,106148,7842,7842,NA,556
2014,106245,11645,9384,2261,698
2014,106263,2890,732,2158,NA
2014,106281,38,38,NA,16
2014,106306,899,899,NA,283
2014,106315,49,49,NA,2
2014,106324,33,33,NA,10
2014,106342,712,712,NA,254
2014,106351,204,204,NA,1
2014,106360,46,46,NA,11
2014,106397,26237,21836,4401,4518
2014,106412,2513,2401,112,484
2014,106449,4140,4140,NA,605
2014,106458,13144,9857,3287,1681
2014,106467,12002,11099,903,1863
2014,106485,3854,3641,213,615
2014,106494,56,56,NA,13
2014,106546,802,802,NA,27
2014,106625,1963,1963,NA,298
2014,106704,11698,9842,1856,2154
2014,106713,858,858,NA,134
2014,106795,1611,1611,NA,184
2014,106810,224,224,NA,62
2014,106829,212,212,NA,61
2014,106883,1268,1268,NA,202
2014,106892,205,205,NA,44
2014,106908,398,398,NA,62
2014,106980,3001,3001,NA,366
2014,106999,1315,1315,NA,232
2014,107044,6059,4485,1574,1063
2014,107071,3627,3232,395,768
2014,107080,1358,1348,10,314
2014,107099,43,43,NA,9
2014,107123,73,73,NA,NA
2014,107141,2850,2231,619,318
2014,107211,28,28,NA,7
2014,107220,344,344,NA,147
2014,107293,102,102,NA,63
2014,107318,1895,1895,NA,187
2014,107327,1425,1425,NA,185
2014,107363,45,45,NA,38
2014,107442,67,67,NA,47
2014,107460,1976,1976,NA,362
2014,107488,267,267,NA,246
2014,107512,1501,1501,NA,420
2014,107521,1444,1444,NA,145
2014,107549,1326,1326,NA,189
2014,107558,587,587,NA,171
2014,107585,1995,1995,NA,403
2014,107600,567,567,NA,110
2014,107619,1796,1796,NA,148
2014,107637,1432,1432,NA,193
2014,107655,47,47,NA,12
2014,107664,9241,9241,NA,847
2014,107725,1360,1360,NA,224
2014,107743,1005,1005,NA,121
2014,107789,118,118,NA,12
2014,107831,59,59,NA,10
2014,107840,403,403,NA,43
2014,107877,560,560,NA,161
2014,107974,1693,1693,NA,139
2014,107983,3546,3036,510,699
2014,107992,1559,1559,NA,176
2014,108065,25,25,NA,17
2014,108092,6830,6830,NA,1130
2014,108232,15212,10044,5168,704
2014,108250,500,500,NA,58
2014,108269,146,NA,146,NA
2014,108348,14,14,NA,13
2014,108649,253,253,NA,62
2014,108667,5796,5796,NA,205
2014,108807,11047,11047,NA,870
2014,108852,280,280,NA,146
2014,108861,53,NA,53,NA
2014,108870,324,NA,324,NA
2014,108977,97,97,NA,13
2014,109040,1613,1613,NA,137
2014,109086,48,15,33,NA
2014,109208,29133,29133,NA,1340
