"UNITID","Students","Demographic"
100654,6,"American Indian or Alaska Native"
100654,16,"Asian"
100654,6326,"Black or African American"
100654,5,"Native Hawaiian or Other Pacific Islander"
100654,174,"White"
100654,155,"Two or more races"
100654,231,"Race/ethnicity unknown"
100663,28,"American Indian or Alaska Native"
100663,1695,"Asian"
100663,4586,"Black or African American"
100663,12,"Native Hawaiian or Other Pacific Islander"
100663,10052,"White"
100663,896,"Two or more races"
100663,379,"Race/ethnicity unknown"
100690,10,"American Indian or Alaska Native"
100690,5,"Asian"
100690,360,"Black or African American"
100690,4,"Native Hawaiian or Other Pacific Islander"
100690,231,"White"
100690,0,"Two or more races"
100690,12,"Race/ethnicity unknown"
100706,54,"American Indian or Alaska Native"
100706,367,"Asian"
100706,820,"Black or African American"
100706,13,"Native Hawaiian or Other Pacific Islander"
100706,5715,"White"
100706,384,"Two or more races"
100706,325,"Race/ethnicity unknown"
100724,6,"American Indian or Alaska Native"
100724,13,"Asian"
100724,3464,"Black or African American"
100724,1,"Native Hawaiian or Other Pacific Islander"
100724,143,"White"
100724,45,"Two or more races"
100724,247,"Race/ethnicity unknown"
100751,144,"American Indian or Alaska Native"
100751,679,"Asian"
100751,4887,"Black or African American"
100751,37,"Native Hawaiian or Other Pacific Islander"
100751,28204,"White"
100751,1450,"Two or more races"
100751,1324,"Race/ethnicity unknown"
100760,6,"American Indian or Alaska Native"
100760,16,"Asian"
100760,480,"Black or African American"
100760,2,"Native Hawaiian or Other Pacific Islander"
100760,1418,"White"
100760,87,"Two or more races"
100760,3,"Race/ethnicity unknown"
100812,33,"American Indian or Alaska Native"
100812,29,"Asian"
100812,491,"Black or African American"
100812,2,"Native Hawaiian or Other Pacific Islander"
100812,2142,"White"
100812,98,"Two or more races"
100812,26,"Race/ethnicity unknown"
100830,24,"American Indian or Alaska Native"
100830,124,"Asian"
100830,1712,"Black or African American"
100830,3,"Native Hawaiian or Other Pacific Islander"
100830,1715,"White"
100830,159,"Two or more races"
100830,206,"Race/ethnicity unknown"
100858,86,"American Indian or Alaska Native"
100858,985,"Asian"
100858,1628,"Black or African American"
100858,23,"Native Hawaiian or Other Pacific Islander"
100858,26962,"White"
100858,1048,"Two or more races"
100858,122,"Race/ethnicity unknown"
101028,3,"American Indian or Alaska Native"
101028,18,"Asian"
101028,782,"Black or African American"
101028,5,"Native Hawaiian or Other Pacific Islander"
101028,645,"White"
101028,120,"Two or more races"
101028,3,"Race/ethnicity unknown"
101116,1,"American Indian or Alaska Native"
101116,2,"Asian"
101116,224,"Black or African American"
101116,0,"Native Hawaiian or Other Pacific Islander"
101116,44,"White"
101116,12,"Two or more races"
101116,17,"Race/ethnicity unknown"
101143,16,"American Indian or Alaska Native"
101143,37,"Asian"
101143,491,"Black or African American"
101143,6,"Native Hawaiian or Other Pacific Islander"
101143,1709,"White"
101143,171,"Two or more races"
101143,9,"Race/ethnicity unknown"
101161,107,"American Indian or Alaska Native"
101161,70,"Asian"
101161,1672,"Black or African American"
101161,4,"Native Hawaiian or Other Pacific Islander"
101161,4860,"White"
101161,428,"Two or more races"
101161,4,"Race/ethnicity unknown"
101189,13,"American Indian or Alaska Native"
101189,38,"Asian"
101189,943,"Black or African American"
101189,11,"Native Hawaiian or Other Pacific Islander"
101189,1626,"White"
101189,70,"Two or more races"
101189,103,"Race/ethnicity unknown"
101240,15,"American Indian or Alaska Native"
101240,48,"Asian"
101240,847,"Black or African American"
101240,4,"Native Hawaiian or Other Pacific Islander"
101240,3422,"White"
101240,265,"Two or more races"
101240,4,"Race/ethnicity unknown"
101277,0,"American Indian or Alaska Native"
101277,0,"Asian"
101277,0,"Black or African American"
101277,0,"Native Hawaiian or Other Pacific Islander"
101277,61,"White"
101277,0,"Two or more races"
101277,0,"Race/ethnicity unknown"
101286,11,"American Indian or Alaska Native"
101286,43,"Asian"
101286,1187,"Black or African American"
101286,4,"Native Hawaiian or Other Pacific Islander"
101286,2263,"White"
101286,216,"Two or more races"
101286,3,"Race/ethnicity unknown"
101295,24,"American Indian or Alaska Native"
101295,41,"Asian"
101295,476,"Black or African American"
101295,8,"Native Hawaiian or Other Pacific Islander"
101295,4826,"White"
101295,271,"Two or more races"
101295,1,"Race/ethnicity unknown"
101301,6,"American Indian or Alaska Native"
101301,6,"Asian"
101301,1452,"Black or African American"
101301,0,"Native Hawaiian or Other Pacific Islander"
101301,358,"White"
101301,56,"Two or more races"
101301,1,"Race/ethnicity unknown"
101365,0,"American Indian or Alaska Native"
101365,3,"Asian"
101365,324,"Black or African American"
101365,0,"Native Hawaiian or Other Pacific Islander"
101365,79,"White"
101365,12,"Two or more races"
101365,17,"Race/ethnicity unknown"
101435,2,"American Indian or Alaska Native"
101435,4,"Asian"
101435,212,"Black or African American"
101435,0,"Native Hawaiian or Other Pacific Islander"
101435,559,"White"
101435,53,"Two or more races"
101435,14,"Race/ethnicity unknown"
101453,1,"American Indian or Alaska Native"
101453,0,"Asian"
101453,13,"Black or African American"
101453,0,"Native Hawaiian or Other Pacific Islander"
101453,153,"White"
101453,2,"Two or more races"
101453,0,"Race/ethnicity unknown"
101462,3,"American Indian or Alaska Native"
101462,6,"Asian"
101462,655,"Black or African American"
