"UNITID","Students","Demographic"
100654,2959,"Men"
100654,4336,"Women"
100663,7861,"Men"
100663,13044,"Women"
100690,273,"Men"
100690,366,"Women"
100706,5088,"Men"
100706,3476,"Women"
100724,1453,"Men"
100724,2628,"Women"
100751,17368,"Men"
100751,23478,"Women"
100760,835,"Men"
100760,1305,"Women"
100812,865,"Men"
100812,2121,"Women"
100830,2089,"Men"
100830,3128,"Women"
100858,16671,"Men"
100858,17474,"Women"
101028,567,"Men"
101028,1138,"Women"
101116,58,"Men"
101116,245,"Women"
101143,1371,"Men"
101143,1328,"Women"
101161,3046,"Men"
101161,4507,"Women"
101189,1298,"Men"
101189,1788,"Women"
101240,2018,"Men"
101240,3053,"Women"
101277,0,"Men"
101277,81,"Women"
101286,1280,"Men"
101286,2764,"Women"
101295,2254,"Men"
101295,4170,"Women"
101301,764,"Men"
101301,1161,"Women"
101365,46,"Men"
101365,398,"Women"
101435,499,"Men"
101435,393,"Women"
101453,143,"Men"
101453,35,"Women"
101462,446,"Men"
101462,741,"Women"
101471,865,"Men"
101471,95,"Women"
101480,3967,"Men"
101480,5988,"Women"
101505,3387,"Men"
101505,5853,"Women"
101514,4046,"Men"
101514,5073,"Women"
101569,1185,"Men"
101569,2268,"Women"
101587,1740,"Men"
101587,5080,"Women"
101602,814,"Men"
101602,1248,"Women"
101648,235,"Men"
101648,97,"Women"
101675,605,"Men"
101675,575,"Women"
101693,592,"Men"
101693,953,"Women"
101709,1197,"Men"
101709,1891,"Women"
101736,2018,"Men"
101736,2647,"Women"
101879,3666,"Men"
101879,6538,"Women"
101897,1215,"Men"
101897,1993,"Women"
101912,531,"Men"
101912,695,"Women"
101994,250,"Men"
101994,391,"Women"
102030,1468,"Men"
102030,2533,"Women"
102049,2062,"Men"
102049,4035,"Women"
102058,50,"Men"
102058,45,"Women"
102067,1836,"Men"
102067,2765,"Women"
102076,1138,"Men"
102076,1779,"Women"
102094,4531,"Men"
102094,9472,"Women"
102234,411,"Men"
102234,508,"Women"
102270,309,"Men"
102270,422,"Women"
102298,442,"Men"
102298,318,"Women"
102313,740,"Men"
102313,1306,"Women"
102368,5107,"Men"
102368,8551,"Women"
102377,1116,"Men"
102377,2005,"Women"
102395,260,"Men"
102395,107,"Women"
102429,1863,"Men"
102429,2515,"Women"
102553,4166,"Men"
102553,6327,"Women"
102580,24,"Men"
102580,14,"Women"
102614,2680,"Men"
102614,4213,"Women"
102632,719,"Men"
102632,1281,"Women"
102669,140,"Men"
102669,453,"Women"
102711,222,"Men"
102711,47,"Women"
102845,672,"Men"
102845,1485,"Women"
103501,32,"Men"
103501,218,"Women"
103741,4,"Men"
103741,199,"Women"
103893,443,"Men"
103893,637,"Women"
103909,249,"Men"
103909,279,"Women"
103927,200,"Men"
103927,317,"Women"
103954,3,"Men"
103954,44,"Women"
103963,588,"Men"
103963,101,"Women"
104090,85,"Men"
104090,654,"Women"
104151,41632,"Men"
104151,38186,"Women"
104160,3586,"Men"
104160,5378,"Women"
104179,25449,"Men"
104179,30916,"Women"
104346,1967,"Men"
104346,3086,"Women"
104391,2,"Men"
104391,74,"Women"
104425,1788,"Men"
104425,2117,"Women"
104443,7,"Men"
104443,97,"Women"
104568,8,"Men"
104568,290,"Women"
104577,2131,"Men"
104577,3082,"Women"
104586,2360,"Men"
104586,904,"Women"
104665,6,"Men"
104665,2,"Women"
104708,5896,"Men"
104708,8018,"Women"
104717,30775,"Men"
104717,82482,"Women"
105145,1811,"Men"
105145,3742,"Women"
105154,7668,"Men"
105154,9409,"Women"
105206,1502,"Men"
105206,3117,"Women"
105215,482,"Men"
105215,45,"Women"
105297,379,"Men"
105297,1055,"Women"
105330,10625,"Men"
105330,17842,"Women"
105349,1256,"Men"
105349,1902,"Women"
105428,3847,"Men"
105428,6813,"Women"
105525,7156,"Men"
105525,9127,"Women"
105534,593,"Men"
105534,2083,"Women"
105543,110,"Men"
105543,452,"Women"
105589,193,"Men"
105589,674,"Women"
105659,1271,"Men"
105659,146,"Women"
105668,7423,"Men"
105668,11418,"Women"
105677,20,"Men"
105677,1,"Women"
105747,3034,"Men"
105747,4031,"Women"
105792,1725,"Men"
105792,2791,"Women"
105899,799,"Men"
105899,622,"Women"
106041,1810,"Men"
106041,147,"Women"
106148,3176,"Men"
106148,4252,"Women"
106245,3171,"Men"
106245,5045,"Women"
106263,889,"Men"
106263,2596,"Women"
106306,266,"Men"
106306,76,"Women"
106315,2,"Men"
106315,104,"Women"
106324,1,"Men"
106324,60,"Women"
106342,371,"Men"
106342,288,"Women"
106351,65,"Men"
106351,58,"Women"
106397,14996,"Men"
106397,18614,"Women"
106412,886,"Men"
106412,1119,"Women"
106449,1253,"Men"
106449,2024,"Women"
106458,5346,"Men"
106458,10380,"Women"
106467,3692,"Men"
106467,5054,"Women"
106485,1130,"Men"
106485,1726,"Women"
106494,0,"Men"
106494,29,"Women"
106546,72,"Men"
106546,511,"Women"
106625,613,"Men"
106625,1092,"Women"
106704,3598,"Men"
106704,6514,"Women"
106713,301,"Men"
106713,246,"Women"
106795,489,"Men"
106795,823,"Women"
106810,118,"Men"
106810,123,"Women"
106883,503,"Men"
106883,898,"Women"
106908,27,"Men"
106908,333,"Women"
106980,654,"Men"
106980,1151,"Women"
106999,442,"Men"
106999,750,"Women"
107044,2084,"Men"
107044,2612,"Women"
107071,847,"Men"
107071,1208,"Women"
107080,549,"Men"
107080,561,"Women"
107099,1,"Men"
107099,85,"Women"
107123,9,"Men"
107123,83,"Women"
107141,980,"Men"
107141,1370,"Women"
107220,5,"Men"
107220,240,"Women"
107293,1,"Men"
107293,51,"Women"
107318,490,"Men"
107318,532,"Women"
107327,517,"Men"
107327,944,"Women"
107442,28,"Men"
107442,11,"Women"
107460,877,"Men"
107460,1212,"Women"
107488,161,"Men"
107488,45,"Women"
107512,810,"Men"
107512,1048,"Women"
107521,1042,"Men"
107521,941,"Women"
107549,390,"Men"
107549,679,"Women"
107558,342,"Men"
107558,436,"Women"
107585,1005,"Men"
107585,1243,"Women"
107600,373,"Men"
107600,407,"Women"
107619,479,"Men"
107619,720,"Women"
107637,365,"Men"
107637,551,"Women"
107655,0,"Men"
107655,42,"Women"
107664,1490,"Men"
107664,2988,"Women"
107725,489,"Men"
107725,816,"Women"
107743,343,"Men"
107743,443,"Women"
107789,4,"Men"
107789,95,"Women"
107831,1,"Men"
107831,53,"Women"
107840,126,"Men"
107840,161,"Women"
107877,255,"Men"
107877,262,"Women"
107974,375,"Men"
107974,832,"Women"
107983,1945,"Men"
107983,2787,"Women"
107992,427,"Men"
107992,564,"Women"
108065,0,"Men"
108065,8,"Women"
108092,2197,"Men"
108092,3299,"Women"
108232,2221,"Men"
108232,3277,"Women"
108269,34,"Men"
108269,80,"Women"
108667,2617,"Men"
108667,3524,"Women"
108807,5348,"Men"
108807,6115,"Women"
108852,42,"Men"
108852,70,"Women"
108861,49,"Men"
108861,59,"Women"
108870,163,"Men"
108870,216,"Women"
108977,45,"Men"
108977,289,"Women"
109040,521,"Men"
109040,1647,"Women"
109208,15384,"Men"
109208,15078,"Women"
109350,5948,"Men"
109350,7584,"Women"
109651,932,"Men"
109651,1376,"Women"
109721,82,"Men"
109721,233,"Women"
109785,1843,"Men"
109785,4429,"Women"
109819,13340,"Men"
109819,17406,"Women"
109907,1154,"Men"
109907,2072,"Women"
109934,47,"Men"
109934,294,"Women"
110060,187,"Men"
110060,76,"Women"
110097,2533,"Men"
110097,2901,"Women"
110194,304,"Men"
110194,3,"Women"
110219,286,"Men"
110219,2233,"Women"
110246,4864,"Men"
110246,6104,"Women"
110316,363,"Men"
110316,1511,"Women"
110334,4088,"Men"
110334,5369,"Women"
110361,4128,"Men"
110361,7774,"Women"
110370,427,"Men"
110370,881,"Women"
110398,469,"Men"
110398,726,"Women"
110404,1459,"Men"
110404,971,"Women"
110413,1383,"Men"
110413,1968,"Women"
110422,11396,"Men"
110422,11673,"Women"
110468,1207,"Men"
110468,3323,"Women"
110486,3567,"Men"
110486,6852,"Women"
110495,3290,"Men"
110495,6434,"Women"
110510,7177,"Men"
110510,11315,"Women"
110529,15341,"Men"
110529,12295,"Women"
110538,6526,"Men"
110538,8731,"Women"
110547,5964,"Men"
110547,9218,"Women"
110556,9950,"Men"
110556,14477,"Women"
110565,18958,"Men"
110565,24704,"Women"
110574,5008,"Men"
110574,7318,"Women"
110583,17258,"Men"
110583,24745,"Women"
110592,10065,"Men"
110592,13098,"Women"
110608,17530,"Men"
110608,20783,"Women"
110617,14026,"Men"
110617,17917,"Women"
110635,21140,"Men"
110635,24742,"Women"
110644,16798,"Men"
110644,23267,"Women"
110653,16711,"Men"
110653,20586,"Women"
110662,20430,"Men"
110662,26905,"Women"
110671,12810,"Men"
110671,13574,"Women"
110680,20975,"Men"
110680,23281,"Women"
110699,1100,"Men"
110699,1907,"Women"
110705,11366,"Men"
110705,14767,"Women"
110714,9544,"Men"
110714,10394,"Women"
110778,398,"Men"
110778,747,"Women"
110875,3,"Men"
110875,119,"Women"
111045,53,"Men"
111045,70,"Women"
111054,24,"Men"
111054,74,"Women"
111081,529,"Men"
111081,748,"Women"
111188,686,"Men"
111188,151,"Women"
111391,251,"Men"
111391,399,"Women"
111434,2664,"Men"
111434,3961,"Women"
111461,9860,"Men"
111461,8215,"Women"
111513,0,"Men"
111513,219,"Women"
111638,206,"Men"
111638,553,"Women"
111708,199,"Men"
111708,24,"Women"
111717,226,"Men"
111717,40,"Women"
111726,103,"Men"
111726,27,"Women"
111744,152,"Men"
111744,10,"Women"
111762,103,"Men"
111762,39,"Women"
111799,28,"Men"
111799,143,"Women"
111887,10099,"Men"
111887,11760,"Women"
111896,2197,"Men"
111896,3352,"Women"
111920,6438,"Men"
111920,6404,"Women"
111939,8871,"Men"
111939,13589,"Women"
111948,3770,"Men"
111948,5990,"Women"
111966,262,"Men"
111966,590,"Women"
112075,1328,"Men"
112075,2330,"Women"
112084,51,"Men"
112084,45,"Women"
112127,20,"Men"
112127,20,"Women"
112172,4618,"Men"
112172,5811,"Women"
112181,4,"Men"
